NR,TRAINING,N_ANSWERS,ACC,RT,UPPER_WORDS,TRIAL_WITH_DISTRACTOR,CHOSEN_ANSWER_WORD,CHOSEN_ANSWER_LENGTH,CHOSEN_ANSWER_CATEGORY,TASK_WORD,TASK_LENGTH,TASK_CATEGORY,DISTRACTOR_WORD,DISTRACTOR_CATEGORY,ANSWERS
0,True,4,False,2.5169671000912786,"['task', 'distractor']",FALSE,BIODRO,6,CIALO,BIURKO,6,MEBLE,BIURKO,MEBLE,"[{'word': 'AKACJA', 'length': 6, 'category': 'DRZEWA'}, {'word': 'BIODRO', 'length': 6, 'category': 'CIALO'}, {'word': 'BIURKO', 'length': 6, 'category': 'MEBLE'}, {'word': 'CHOMIK', 'length': 6, 'category': 'ZWIERZETA'}]"
1,True,4,False,0.3045395000372082,"['task', 'distractor']",TRUE,SOSNA,5,DRZEWA,PӣKA,5,MEBLE,SOSNA,DRZEWA,"[{'word': 'STOPA', 'length': 5, 'category': 'CIALO'}, {'word': 'SOSNA', 'length': 5, 'category': 'DRZEWA'}, {'word': 'ROSӣ', 'length': 5, 'category': 'JEDZENIE'}, {'word': 'PӣKA', 'length': 5, 'category': 'MEBLE'}]"
